PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG,source_player_id,collection_timestamp,PLAYER_ID,PLAYER_NAME,TimeFrame,PTS,AST,REB,ALL_STAR_APPEARANCES,SEASON_ID,PIE
1629751.0,Dakota,Mathias,Dakota Mathias,"Mathias, Dakota",D. Mathias,dakota-mathias,1995-07-11T00:00:00,Purdue,USA,Purdue/USA,6-4,200,3.0,,Guard,Inactive,N,0.0,,,,,dakota_mathias,2020.0,2021.0,Y,Y,Y,2018,,,N,1629751,2025-08-10T09:38:02.535146,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1629751,2025-08-10T09:38:02.535146,1629751.0,Dakota Mathias,career,3.9,1.0,0.6,0.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1629751,2025-08-10T09:38:02.535146,,,,,,,,12019,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1629751,2025-08-10T09:38:02.535146,,,,,,,,12020,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1629751,2025-08-10T09:38:02.535146,,,,,,,,22020,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1629751,2025-08-10T09:38:02.535146,,,,,,,,22021,
1630696.0,Dru,Smith,Dru Smith,"Smith, Dru",D. Smith,dru-smith,1997-12-30T00:00:00,Missouri,USA,Missouri/USA,6-2,203,3.0,12,Guard,Active,N,1610612748.0,Heat,MIA,heat,Miami,dru_smith,2022.0,2025.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,1630696,2025-08-10T09:38:03.195938,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630696,2025-08-10T09:38:03.195938,1630696.0,Dru Smith,2024-25,6.2,1.6,2.6,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630696,2025-08-10T09:38:03.195938,,,,,,,,12021,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630696,2025-08-10T09:38:03.195938,,,,,,,,12022,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630696,2025-08-10T09:38:03.195938,,,,,,,,22022,
