GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS,game_id,game_date,endpoint,dataframe_index,collection_timestamp,TEAM_NAME
0022401191,1610612741,CHI,Chicago,1641824.0,Matas Buzelis,Matas,F,,14:28,0.139,0.214,0.103,0.2,0.083,0.0,0.0,0.333,0.167,0.2,0.111,0.4,0.333,0.0,0.0,0.0,0.0,0.194,0022401191,2025-04-13,BoxScoreUsageV2,0,2025-08-10T12:41:47.693908,
0022401191,1610612741,CHI,Chicago,1641763.0,Julian Phillips,Julian,F,,26:06,0.121,0.143,0.145,0.111,0.174,0.0,0.0,0.2,0.24,0.233,0.125,0.0,0.286,0.25,0.333,0.286,0.0,0.125,0022401191,2025-04-13,BoxScoreUsageV2,0,2025-08-10T12:41:47.693908,
0022401191,1610612741,CHI,Chicago,202696.0,Nikola Vučević,Nikola,C,,16:34,0.271,0.214,0.263,0.0,0.077,1.0,1.0,0.75,0.182,0.421,0.0,0.286,0.25,0.5,0.333,0.143,0.333,0.242,0022401191,2025-04-13,BoxScoreUsageV2,0,2025-08-10T12:41:47.693908,
0022401191,1610612741,CHI,Chicago,1629632.0,Coby White,Coby,G,,18:47,0.173,0.063,0.143,0.0,0.143,0.0,0.0,0.0,0.364,0.211,0.444,0.375,0.0,0.5,0.0,0.125,0.4,0.054,0022401191,2025-04-13,BoxScoreUsageV2,0,2025-08-10T12:41:47.693908,
0022401191,1610612741,CHI,Chicago,1628989.0,Kevin Huerter,Kevin,G,,16:16,0.255,0.4,0.282,1.0,0.438,0.333,0.5,0.0,0.143,0.091,0.222,0.0,0.0,0.0,0.0,0.286,0.25,0.474,0022401191,2025-04-13,BoxScoreUsageV2,0,2025-08-10T12:41:47.693908,
0022401191,1610612741,CHI,Chicago,1631207.0,Dalen Terry,Dalen,,,17:39,0.192,0.25,0.214,0.0,0.2,0.0,0.0,0.0,0.214,0.13,0.167,0.167,0.5,0.0,0.0,0.125,0.0,0.231,0022401191,2025-04-13,BoxScoreUsageV2,0,2025-08-10T12:41:47.693908,
0022401191,1610612741,CHI,Chicago,1630172.0,Patrick Williams,Patrick,,,26:11,0.203,0.222,0.207,0.333,0.32,0.0,0.083,0.0,0.214,0.158,0.235,0.429,0.4,1.0,0.25,0.25,0.182,0.211,0022401191,2025-04-13,BoxScoreUsageV2,0,2025-08-10T12:41:47.693908,
0022401191,1610612741,CHI,Chicago,1630188.0,Jalen Smith,Jalen,,,16:24,0.326,0.333,0.406,0.167,0.231,0.2,0.25,0.75,0.368,0.435,0.182,0.0,0.0,0.0,0.5,0.167,0.333,0.293,0022401191,2025-04-13,BoxScoreUsageV2,0,2025-08-10T12:41:47.693908,
0022401191,1610612741,CHI,Chicago,1629659.0,Talen Horton-Tucker,Talen,,,28:32,0.181,0.207,0.155,0.0,0.083,0.556,0.5,0.0,0.097,0.081,0.333,0.167,0.4,0.0,0.333,0.0,0.444,0.221,0022401191,2025-04-13,BoxScoreUsageV2,0,2025-08-10T12:41:47.693908,
0022401191,1610612741,CHI,Chicago,1628975.0,Jevon Carter,Jevon,,,21:34,0.164,0.077,0.196,0.143,0.412,0.0,0.0,0.2,0.143,0.154,0.118,0.0,0.0,0.0,0.0,0.333,0.0,0.071,0022401191,2025-04-13,BoxScoreUsageV2,0,2025-08-10T12:41:47.693908,
